STAID,SOUID,DATE,DD,Q_DD
   189,114683,20170902,  216,    0
   189,114683,20170903,  360,    0
   189,114683,20170904,  160,    0
   189,114683,20170905,  144,    0
   189,114683,20170906,   73,    0
   189,114683,20170907,  205,    0
   189,114683,20170908,   70,    0
   189,114683,20170909,  354,    0
   189,114683,20170910,  225,    0
   189,114683,20170911,  357,    0
   189,114683,20170912,  346,    0
   189,114683,20170913,  337,    0
   189,114683,20170914,  359,    0
   189,114683,20170915,  205,    0
   189,114683,20170916,  266,    0
   189,114683,20170917,   75,    0
   189,114683,20170918,  210,    0
   189,114683,20170919,  119,    0
   189,114683,20170920,  106,    0
   189,114683,20170921,   87,    0
   189,114683,20170922,  205,    0
   189,114683,20170923,  198,    0
   189,114683,20170924,  130,    0
   189,114683,20170925,  209,    0
   189,114683,20170926,  200,    0
   189,114683,20170927,  143,    0
   189,114683,20170928,  198,    0
   189,114683,20170929,  114,    0
   189,114683,20170930,   97,    0
   189,114683,20171001,  136,    0
   189,114683,20171002,  323,    0
   189,114683,20171003,   24,    0
   189,114683,20171004,  342,    0
   189,114683,20171005,  333,    0
   189,114683,20171006,  347,    0
   189,114683,20171007,  292,    0
   189,114683,20171008,  152,    0
   189,114683,20171009,  102,    0
   189,114683,20171010,   89,    0
   189,114683,20171011,   67,    0
   189,114683,20171012,   77,    0
   189,114683,20171013,   71,    0
   189,114683,20171014,   66,    0
   189,114683,20171015,  299,    0
   189,114683,20171016,  266,    0
   189,114683,20171017,  340,    0
   189,114683,20171018,  310,    0
   189,114683,20171019,  113,    0
   189,114683,20171020,  103,    0
   189,114683,20171021,  121,    0
   189,114683,20171022,  187,    0
   189,114683,20171023,  185,    0
   189,114683,20171024,   44,    0
   189,114683,20171025,  134,    0
   189,114683,20171026,  261,    0
   189,114683,20171027,  307,    0
   189,114683,20171028,    5,    0
   189,114683,20171029,  301,    0
   189,114683,20171030,  306,    0
   189,114683,20171031,  302,    0
   189,114683,20171101,  351,    0
   189,114683,20171102,  184,    0
   189,114683,20171103,  358,    0
   189,114683,20171104,  360,    0
   189,114683,20171105,  346,    0
   189,114683,20171106,  276,    0
   189,114683,20171107,  213,    0
   189,114683,20171108,  231,    0
   189,114683,20171109,  338,    0
   189,114683,20171110,   14,    0
   189,114683,20171111,  349,    0
   189,114683,20171112,  344,    0
   189,114683,20171113,  108,    0
   189,114683,20171114,   83,    0
   189,114683,20171115,  295,    0
   189,114683,20171116,   82,    0
   189,114683,20171117,   46,    0
   189,114683,20171118,  341,    0
   189,114683,20171119,  342,    0
   189,114683,20171120,   14,    0
   189,114683,20171121,  342,    0
   189,114683,20171122,   18,    0
   189,114683,20171123,   38,    0
   189,114683,20171124,   16,    0
   189,114683,20171125,   17,    0
   189,114683,20171126,    3,    0
   189,114683,20171127,  353,    0
   189,114683,20171128,  342,    0
   189,114683,20171129,  343,    0
   189,114683,20171130,  185,    0
   189,114683,20171201,  346,    0
   189,114683,20171202,  350,    0
   189,114683,20171203,  343,    0
   189,114683,20171204,  347,    0
   189,114683,20171205,   12,    0
   189,114683,20171206,    0,    0
   189,114683,20171207,  357,    0
   189,114683,20171208,    4,    0
   189,114683,20171209,  359,    0
   189,114683,20171210,  359,    0
   189,114683,20171211,  359,    0
   189,114683,20171212,  255,    0
   189,114683,20171213,   59,    0
   189,114683,20171214,  342,    0
   189,114683,20171215,  344,    0
   189,114683,20171216,  257,    0
   189,114683,20171217,  342,    0
   189,114683,20171218,  194,    0
   189,114683,20171219,  255,    0
   189,114683,20171220,  242,    0
   189,114683,20171221,  338,    0
   189,114683,20171222,    2,    0
   189,114683,20171223,  341,    0
   189,114683,20171224,  345,    0
   189,114683,20171225,  357,    0
   189,114683,20171226,   16,    0
   189,114683,20171227,    3,    0
   189,114683,20171228,  358,    0
   189,114683,20171229,  310,    0
   189,114683,20171230,  355,    0
   189,114683,20171231,   33,    0
   189,114683,20180101,  359,    0
   189,114683,20180102,  358,    0
   189,114683,20180103,   22,    0
   189,114683,20180104,   10,    0
   189,114683,20180105,  338,    0
   189,114683,20180106,  351,    0
   189,114683,20180107,  335,    0
   189,114683,20180108,   91,    0
   189,114683,20180109,  360,    0
   189,114683,20180110,  104,    0
   189,114683,20180111,  213,    0
   189,114683,20180112,  169,    0
   189,114683,20180113,  209,    0
   189,114683,20180114,  119,    0
   189,114683,20180115,   51,    0
   189,114683,20180116,  112,    0
   189,114683,20180117,   56,    0
   189,114683,20180118,   66,    0
   189,114683,20180119,  347,    0
   189,114683,20180120,   74,    0
   189,114683,20180121,  313,    0
   189,114683,20180122,  321,    0
   189,114683,20180123,  142,    0
   189,114683,20180124,  353,    0
   189,114683,20180125,    1,    0
   189,114683,20180126,  347,    0
   189,114683,20180127,   74,    0
   189,114683,20180128,   83,    0
   189,114683,20180129,   19,    0
   189,114683,20180130,  185,    0
   189,114683,20180131,   14,    0
   189,114683,20180201,  346,    0
   189,114683,20180202,  152,    0
   189,114683,20180203,  175,    0
   189,114683,20180204,  192,    0
   189,114683,20180205,  199,    0
   189,114683,20180206,  101,    0
   189,114683,20180207,   57,    0
   189,114683,20180208,  220,    0
   189,114683,20180209,  185,    0
   189,114683,20180210,  354,    0
   189,114683,20180211,   87,    0
   189,114683,20180212,-9999,    9
   189,114683,20180213,  331,    0
   189,114683,20180214,  151,    0
   189,114683,20180215,   79,    0
   189,114683,20180216,  106,    0
   189,114683,20180217,  211,    0
   189,114683,20180218,   74,    0
   189,114683,20180219,  117,    0
   189,114683,20180220,  147,    0
   189,114683,20180221,   26,    0
   189,114683,20180222,  158,    0
   189,114683,20180223,  160,    0
   189,114683,20180224,  142,    0
   189,114683,20180225,  158,    0
   189,114683,20180226,  206,    0
   189,114683,20180227,  209,    0
   189,114683,20180228,  196,    0
   189,114683,20180301,  360,    0
   189,114683,20180302,   15,    0
   189,114683,20180303,  344,    0
   189,114683,20180304,  358,    0
   189,114683,20180305,   28,    0
   189,114683,20180306,   93,    0
   189,114683,20180307,   17,    0
   189,114683,20180308,  350,    0
   189,114683,20180309,   82,    0
   189,114683,20180310,  356,    0
   189,114683,20180311,  359,    0
   189,114683,20180312,   10,    0
   189,114683,20180313,  359,    0
   189,114683,20180314,   98,    0
   189,114683,20180315,  143,    0
   189,114683,20180316,  181,    0
   189,114683,20180317,  353,    0
   189,114683,20180318,  280,    0
   189,114683,20180319,  210,    0
   189,114683,20180320,  343,    0
   189,114683,20180321,  338,    0
   189,114683,20180322,   26,    0
   189,114683,20180323,   82,    0
   189,114683,20180324,   73,    0
   189,114683,20180325,   84,    0
   189,114683,20180326,  170,    0
   189,114683,20180327,   40,    0
   189,114683,20180328,  246,    0
   189,114683,20180329,  230,    0
   189,114683,20180330,  354,    0
   189,114683,20180331,  346,    0
   189,114683,20180401,  346,    0
   189,114683,20180402,  346,    0
   189,114683,20180403,   21,    0
   189,114683,20180404,  102,    0
   189,114683,20180405,   13,    0
   189,114683,20180406,   94,    0
   189,114683,20180407,  258,    0
   189,114683,20180408,  341,    0
   189,114683,20180409,  232,    0
   189,114683,20180410,  212,    0
   189,114683,20180411,  198,    0
   189,114683,20180412,  191,    0
   189,114683,20180413,  129,    0
   189,114683,20180414,  217,    0
   189,114683,20180415,  205,    0
   189,114683,20180416,   80,    0
   189,114683,20180417,   74,    0
   189,114683,20180418,   63,    0
   189,114683,20180419,   95,    0
   189,114683,20180420,  349,    0
   189,114683,20180421,  342,    0
   189,114683,20180422,  319,    0
   189,114683,20180423,   72,    0
   189,114683,20180424,   53,    0
   189,114683,20180425,   13,    0
   189,114683,20180426,  352,    0
   189,114683,20180427,   30,    0
   189,114683,20180428,  300,    0
   189,114683,20180429,  196,    0
   189,114683,20180430,  161,    0
   189,114683,20180501,  144,    0
   189,114683,20180502,  192,    0
   189,114683,20180503,  185,    0
   189,114683,20180504,  154,    0
   189,114683,20180505,  199,    0
   189,114683,20180506,  222,    0
   189,114683,20180507,  223,    0
   189,114683,20180508,   87,    0
   189,114683,20180509,   85,    0
   189,114683,20180510,   86,    0
   189,114683,20180511,  187,    0
   189,114683,20180512,  149,    0
   189,114683,20180513,  208,    0
   189,114683,20180514,  110,    0
   189,114683,20180515,  200,    0
   189,114683,20180516,  247,    0
   189,114683,20180517,  262,    0
   189,114683,20180518,  188,    0
   189,114683,20180519,  275,    0
   189,114683,20180520,  194,    0
   189,114683,20180521,  189,    0
   189,114683,20180522,  276,    0
   189,114683,20180523,  206,    0
   189,114683,20180524,  175,    0
   189,114683,20180525,  238,    0
   189,114683,20180526,  199,    0
   189,114683,20180527,  193,    0
   189,114683,20180528,  178,    0
   189,114683,20180529,  145,    0
   189,114683,20180530,  200,    0
   189,114683,20180531,   82,    0
   189,114683,20180601,  271,    0
   189,114683,20180602,  192,    0
   189,114683,20180603,  346,    0
   189,114683,20180604,  349,    0
   189,114683,20180605,  133,    0
   189,114683,20180606,  109,    0
   189,114683,20180607,  197,    0
   189,114683,20180608,  230,    0
   189,114683,20180609,  231,    0
   189,114683,20180610,  344,    0
   189,114683,20180611,   10,    0
   189,114683,20180612,  204,    0
   189,114683,20180613,  177,    0
   189,114683,20180614,  184,    0
   189,114683,20180615,  346,    0
   189,114683,20180616,  350,    0
   189,114683,20180617,  179,    0
   189,114683,20180618,    1,    0
   189,114683,20180619,  342,    0
   189,114683,20180620,  338,    0
   189,114683,20180621,  190,    0
   189,114683,20180622,  165,    0
   189,114683,20180623,  258,    0
   189,114683,20180624,  169,    0
   189,114683,20180625,   94,    0
   189,114683,20180626,  267,    0
   189,114683,20180627,  182,    0
   189,114683,20180628,  325,    0
   189,114683,20180629,  176,    0
   189,114683,20180630,  150,    0
   189,114683,20180701,  161,    0
   189,114683,20180702,   33,    0
   189,114683,20180703,  164,    0
   189,114683,20180704,  193,    0
   189,114683,20180705,   91,    0
   189,114683,20180706,   89,    0
   189,114683,20180707,  264,    0
   189,114683,20180708,   97,    0
   189,114683,20180709,  181,    0
   189,114683,20180710,  192,    0
   189,114683,20180711,  223,    0
   189,114683,20180712,  200,    0
   189,114683,20180713,  202,    0
   189,114683,20180714,  354,    0
   189,114683,20180715,  321,    0
   189,114683,20180716,  194,    0
   189,114683,20180717,  131,    0
   189,114683,20180718,  182,    0
   189,114683,20180719,  177,    0
   189,114683,20180720,  193,    0
   189,114683,20180721,  186,    0
   189,114683,20180722,  348,    0
   189,114683,20180723,  344,    0
   189,114683,20180724,  210,    0
   189,114683,20180725,  167,    0
   189,114683,20180726,  181,    0
   189,114683,20180727,  196,    0
   189,114683,20180728,  216,    0
   189,114683,20180729,   52,    0
   189,114683,20180730,  176,    0
   189,114683,20180731,  180,    0
   189,114683,20180801,  118,    0
   189,114683,20180802,  180,    0
   189,114683,20180803,  259,    0
   189,114683,20180804,  171,    0
   189,114683,20180805,  157,    0
   189,114683,20180806,  127,    0
   189,114683,20180807,    7,    0
   189,114683,20180808,  108,    0
   189,114683,20180809,  126,    0
   189,114683,20180810,  191,    0
   189,114683,20180811,  322,    0
   189,114683,20180812,  139,    0
   189,114683,20180813,  109,    0
   189,114683,20180814,  196,    0
   189,114683,20180815,   86,    0
   189,114683,20180816,  262,    0
   189,114683,20180817,  106,    0
   189,114683,20180818,  324,    0
   189,114683,20180819,  358,    0
   189,114683,20180820,  276,    0
   189,114683,20180821,  216,    0
   189,114683,20180822,   70,    0
   189,114683,20180823,   11,    0
   189,114683,20180824,  359,    0
   189,114683,20180825,  341,    0
   189,114683,20180826,  273,    0
   189,114683,20180827,  103,    0
   189,114683,20180828,  144,    0
   189,114683,20180829,  158,    0
   189,114683,20180830,  278,    0
   189,114683,20180831,  172,    0
   189,114683,20180901,  172,    0
   189,114683,20180902,  207,    0
   189,114683,20180903,  236,    0
   189,114683,20180904,  190,    0
   189,114683,20180905,  213,    0
   189,114683,20180906,  200,    0
   189,114683,20180907,  195,    0
   189,114683,20180908,  180,    0
   189,114683,20180909,  315,    0
   189,114683,20180910,  171,    0
   189,114683,20180911,   77,    0
   189,114683,20180912,    3,    0
   189,114683,20180913,  359,    0
   189,114683,20180914,  354,    0
   189,114683,20180915,  340,    0
   189,114683,20180916,   81,    0
   189,114683,20180917,  357,    0
   189,114683,20180918,   35,    0
   189,114683,20180919,   10,    0
   189,114683,20180920,   14,    0
   189,114683,20180921,  359,    0
   189,114683,20180922,  340,    0
   189,114683,20180923,   11,    0
   189,114683,20180924,  237,    0
   189,114683,20180925,  292,    0
   189,114683,20180926,  351,    0
   189,114683,20180927,  249,    0
   189,114683,20180928,  192,    0
   189,114683,20180929,  352,    0
   189,114683,20180930,  338,    0
   189,114683,20181001,   10,    0
   189,114683,20181002,  357,    0
   189,114683,20181003,  352,    0
   189,114683,20181004,  139,    0
   189,114683,20181005,   12,    0
   189,114683,20181006,   52,    0
   189,114683,20181007,   32,    0
   189,114683,20181008,    5,    0
   189,114683,20181009,  356,    0
   189,114683,20181010,  241,    0
   189,114683,20181011,  230,    0
   189,114683,20181012,  117,    0
   189,114683,20181013,  137,    0
   189,114683,20181014,  223,    0
   189,114683,20181015,  320,    0
   189,114683,20181016,   85,    0
   189,114683,20181017,   50,    0
   189,114683,20181018,  348,    0
   189,114683,20181019,  134,    0
   189,114683,20181020,  205,    0
   189,114683,20181021,  332,    0
   189,114683,20181022,  327,    0
   189,114683,20181023,  356,    0
   189,114683,20181024,  290,    0
   189,114683,20181025,  358,    0
   189,114683,20181026,  358,    0
   189,114683,20181027,  287,    0
   189,114683,20181028,  190,    0
   189,114683,20181029,  175,    0
   189,114683,20181030,  179,    0
   189,114683,20181031,   98,    0
   189,114683,20181101,   60,    0
   189,114683,20181102,  334,    0
   189,114683,20181103,  187,    0
   189,114683,20181104,  313,    0
   189,114683,20181105,  352,    0
   189,114683,20181106,  358,    0
   189,114683,20181107,  240,    0
   189,114683,20181108,   99,    0
   189,114683,20181109,  196,    0
   189,114683,20181110,  134,    0
   189,114683,20181111,  352,    0
   189,114683,20181112,  350,    0
   189,114683,20181113,   90,    0
   189,114683,20181114,    8,    0
   189,114683,20181115,  343,    0
   189,114683,20181116,  354,    0
   189,114683,20181117,  118,    0
   189,114683,20181118,  185,    0
   189,114683,20181119,  268,    0
   189,114683,20181120,  190,    0
   189,114683,20181121,  203,    0
   189,114683,20181122,  238,    0
   189,114683,20181123,  267,    0
   189,114683,20181124,  241,    0
   189,114683,20181125,  313,    0
   189,114683,20181126,  321,    0
   189,114683,20181127,    5,    0
   189,114683,20181128,    6,    0
   189,114683,20181129,   13,    0
   189,114683,20181130,   16,    0
   189,114683,20181201,  359,    0
   189,114683,20181202,    1,    0
   189,114683,20181203,  338,    0
   189,114683,20181204,  347,    0
   189,114683,20181205,  350,    0
   189,114683,20181206,  255,    0
   189,114683,20181207,  323,    0
   189,114683,20181208,  330,    0
   189,114683,20181209,  339,    0
   189,114683,20181210,  257,    0
   189,114683,20181211,  153,    0
   189,114683,20181212,  210,    0
   189,114683,20181213,  202,    0
   189,114683,20181214,  177,    0
   189,114683,20181215,  210,    0
   189,114683,20181216,  121,    0
   189,114683,20181217,   78,    0
   189,114683,20181218,   96,    0
   189,114683,20181219,   94,    0
   189,114683,20181220,  114,    0
   189,114683,20181221,  209,    0
   189,114683,20181222,  343,    0
   189,114683,20181223,  356,    0
   189,114683,20181224,  276,    0
   189,114683,20181225,  355,    0
   189,114683,20181226,    6,    0
   189,114683,20181227,  359,    0
   189,114683,20181228,   18,    0
   189,114683,20181229,  360,    0
   189,114683,20181230,  282,    0
   189,114683,20181231,   15,    0
   189,114683,20190101,  322,    0
   189,114683,20190102,  200,    0
   189,114683,20190103,  226,    0
   189,114683,20190104,  213,    0
   189,114683,20190105,  278,    0
   189,114683,20190106,  233,    0
   189,114683,20190107,  337,    0
   189,114683,20190108,  332,    0
   189,114683,20190109,   32,    0
   189,114683,20190110,  240,    0
   189,114683,20190111,    3,    0
   189,114683,20190112,  345,    0
   189,114683,20190113,  342,    0
   189,114683,20190114,  348,    0
   189,114683,20190115,  357,    0
   189,114683,20190116,    8,    0
   189,114683,20190117,  346,    0
   189,114683,20190118,  344,    0
   189,114683,20190119,  232,    0
   189,114683,20190120,  147,    0
   189,114683,20190121,   94,    0
   189,114683,20190122,   96,    0
   189,114683,20190123,   81,    0
   189,114683,20190124,  142,    0
   189,114683,20190125,   14,    0
   189,114683,20190126,  341,    0
   189,114683,20190127,  352,    0
   189,114683,20190128,  350,    0
   189,114683,20190129,  351,    0
   189,114683,20190130,  356,    0
   189,114683,20190131,  352,    0
   189,114683,20190201,  313,    0
   189,114683,20190202,  357,    0
   189,114683,20190203,   59,    0
   189,114683,20190204,   17,    0
   189,114683,20190205,  348,    0
   189,114683,20190206,  343,    0
   189,114683,20190207,   12,    0
   189,114683,20190208,    1,    0
   189,114683,20190209,  357,    0
   189,114683,20190210,  349,    0
   189,114683,20190211,  341,    0
   189,114683,20190212,   72,    0
   189,114683,20190213,   90,    0
   189,114683,20190214,    2,    0
   189,114683,20190215,  316,    0
   189,114683,20190216,  290,    0
   189,114683,20190217,  133,    0
   189,114683,20190218,   12,    0
   189,114683,20190219,    6,    0
   189,114683,20190220,  342,    0
   189,114683,20190221,  142,    0
   189,114683,20190222,  174,    0
   189,114683,20190223,  187,    0
   189,114683,20190224,  331,    0
   189,114683,20190225,    2,    0
   189,114683,20190226,   74,    0
